number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
2,1,4,15,3,30,0,0,0,0,0,0,5,0,1,0,2021,10,1,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,1,7,22,1,30,1,0,1,0,1,0,5,1,1,0,2018,4,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,2,11,0,30,0,0,0,0,0,1,4,0,0,1,2020,10,28,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,4,19,2,50,0,0,2,0,1,0,4,0,0,0,2019,6,21,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,4,19,2,50,0,0,2,0,1,0,4,0,0,0,2019,6,21,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,4,19,2,50,0,0,2,0,1,0,4,0,0,0,2019,6,21,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,3,19,3,30,0,0,0,0,0,0,3,0,1,0,2022,8,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,11,3,40,0,1,0,1,0,0,10,1,0,5,2022,9,6,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2,3,5,10,0,40,0,0,0,0,0,1,6,0,0,6,2022,10,8,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,5,10,0,40,0,0,0,0,0,1,6,0,0,6,2022,10,8,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,5,10,0,40,0,0,0,0,0,1,6,0,0,6,2022,10,8,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,5,20,2,30,0,0,0,0,0,1,2,1,0,0,2018,4,21,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,7,1,3,40,1,0,1,0,0,0,4,0,1,0,2018,8,26,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,3,5,11,3,30,0,0,0,0,0,0,10,0,0,5,2022,8,13,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
